company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
W&T Offshore Inc,Texas,WTI,New York,396.4,0,760.8,3/05/2004,7.54,19,240.449997,Oil
Icagen Inc,North Carolina,ICGN,Nasdaq,-15.3,0.7,76.3,8/04/2004,13.483,8,40,Chemical
Threshold Pharmaceuticals Inc,California,THLD,Nasdaq,-23.4,0.3,32.2,9/04/2004,10.272,7,37.333331,Agriculture
Syniverse Holdings Inc,Florida,SVR,New York,118.7,394.3,777.2,12/11/2004,7.101,16,281.92,IT
Odimo Inc,Florida,ODMO,Nasdaq,-9.1,0,57.9,16/07/2004,16.778,9,28.125,IT
Veri-Tek International Corp,Michigan,VCC,American,-3.5,0,9.9,3/09/2004,10.478,6,15,Machinery
BofI Holding Inc,California,BOFI,Nasdaq,0,126.7,512.6,16/12/2004,10.046,11.5,35.100001,Finance
Morningstar Inc,Illinois,MORN,Nasdaq,0,0,190.7,6/05/2004,3.775,18.5,140.83125,Finance
DiamondRock Hospitality Co,Maryland,DRH,New York,0,159.3,431.8,1/03/2005,7.657,10.5,273.9135,Finance
LHC Group Inc,Louisiana,LHCG,Nasdaq,24.4,1.4,56.4,24/11/2004,10.604,14,67.2,Health
Premium Standard Farms Inc,Missouri,PORK,Nasdaq,187.8,137.7,737,11/03/2005,8.068,12.5,123.03075,Machinery
Builders FirstSource Inc,Texas,BLDR,Nasdaq,0,365,709.5,14/02/2005,7.71,16,196,Timber
Lincoln Educational Services Corp,New Jersey,LINC,Nasdaq,0,10.6,153.9,29/03/2005,9.873,20,80,Services
Kenexa Corp,Pennsylvania,KNXA,Nasdaq,6.3,0.2,48.3,12/04/2005,11.167,12,60,IT
Volcom Inc,California,VLCM,Nasdaq,0,0.2,33.3,29/04/2005,8.562,19,89.0625,Clothes
Consolidated Communications Holdings Inc,Illinois,CNSL,Nasdaq,0,560,959.7,8/12/2004,10.5,13,203.666658,IT
ITC Holdings Corp,Michigan,ITC,New York,0,508.5,868.1,29/03/2005,1.865,23,287.5,Energy
Pike Electric Corp,North Carolina,PIKE,New York,64.2,286.1,592.5,18/04/2005,8.955,14,189,Energy
Alon USA Energy Inc,Texas,ALJ,New York,0,128.4,612.9,11/05/2005,8.066,16,163.2,Oil
Superior Well Services Inc,Pennsylvania,SWSI,Nasdaq,0,1.3,75.4,6/05/2005,8.905,13,73.06,Oil
Advanced Analogic Technologies Inc,California,AATI,Nasdaq,5.9,0,48.7,4/04/2005,8.477,10,106,Machinery
MWI Veterinary Supply Inc,Idaho,MWIV,Nasdaq,17.2,0.4,173.4,22/04/2005,9.381,17,73.666678,Health
Eschelon Telecom Inc,Minnesota,ESCH,Nasdaq,26.1,96.4,229.4,6/05/2005,9.933,14,75.000002,IT
AtriCure Inc,Ohio,ATRC,Nasdaq,0,1.2,12.5,20/04/2005,11.982,12,48,Health
Hoku Scientific Inc,Hawaii,HOKU,Nasdaq,0,0,11.4,28/04/2005,14.143,6,21,Energy
Coley Pharmaceutical Group Inc,Massachusetts,COLY,Nasdaq,0,2.8,70.7,20/04/2005,8.527,16,96,Chemical
"First Security Group Inc, Chattanooga,Tennessee",Tennessee,FSGI,Nasdaq,9.6,13.2,831.3,10/06/2005,8.778,10,45,Finance
RBC Bearings Inc,Connecticut,ROLL,Nasdaq,0,168.3,247.1,11/05/2005,7.924,14.5,134.676,Machinery
CF Industries Holdings Inc,Illinois,CF,New York,0,4.2,1453.9,16/05/2005,6.501,16,660,Chemical
Bronco Drilling Co Inc,Oklahoma,BRNC,Nasdaq,13,36.3,118.9,1/06/2005,7.715,17,86.7,Oil
Kona Grill Inc,Arizona,KONA,Nasdaq,1.8,3.5,23.2,3/06/2005,11,11,27.5,Restaurant
Enterprise GP Holdings LP,Texas,EPE,New York,0,4788.8,11722.3,26/04/2005,6.879,28,352.8,Oil
